id;airport_code;airport_name;aiport_country_code;airport_elevation;airport_continent
553;ADU;Ardabil Airport;IR;4315;AS
554;THU;Thule Air Base;GL;251;NA
555;SRE;Juana Azurduy De Padilla Airport;BO;9540;SA
556;LID;Valkenburg Naval Air Base;NL;1;EU
557;MAF;Midland International Airport;US;2871;NA
558;VIJ;Virgin Gorda Airport;VG;9;NA
559;SMV;Samedan Airport;CH;5600;EU
560;RMK;Renmark Airport;AU;115;OC
561;VHC;Saurimo Airport;AO;3584;AF
562;YRC;Refuge Cove Seaplane Base;CA;0;NA
563;XBG;Bogande Airport;BF;984;AF
564;RAQ;Sugimanuru Airport;ID;132;AS
565;GEY;South Big Horn County Airport;US;3939;NA
566;TPN;Tiputini Airport;EC;997;SA
567;ACL;Aguaclara Airport;CO;1090;SA
568;AZG;Pablo L. Sidar Airport;MX;1033;NA
569;DTL;Detroit Lakes Airport - Wething Field;US;1397;NA
570;YHY;Hay River / Merlyn Carter Airport;CA;541;NA
571;MYY;Miri Airport;MY;59;AS
572;BTP;Pittsburgh/Butler Regional Airport;US;1248;NA
573;AIE;Aiome Airport;PG;350;OC
574;KRQ;Kramatorsk Airport;UA;646;EU
575;PUM;Pomala Airport;ID;88;AS
576;GZA;Yasser Arafat International Airport;PS;320;AS
577;XPL;Coronel Enrique Soto Cano Air Base;HN;2061;NA
578;AKL;Auckland International Airport;NZ;23;OC
579;KKH;Kongiganak Airport;US;30;NA
580;GGT;Exuma International Airport;BS;9;NA
581;DPA;Dupage Airport;US;759;NA
582;TWA;Twin Hills Airport;US;82;NA
583;BOW;Bartow Municipal Airport;US;125;NA
584;JTR;Santorini Airport;GR;127;EU
585;MVP;Fabio Alberto Leon Bentley Airport;CO;680;SA
586;BHR;Bharatpur Airport;NP;600;AS
587;SAB;Juancho E. Yrausquin Airport;BQ;60;NA
588;CYX;Cherskiy Airport;RU;20;AS
589;JAI;Jaipur International Airport;IN;1263;AS
590;HVS;Hartsville Regional Airport;US;364;NA
591;CIF;Chifeng Airport;CN;;AS
592;PGX;Périgueux-Bassillac Airport;FR;328;EU
593;LAN;Capital City Airport;US;861;NA
594;UHE;Kunovice Airport;CZ;581;EU
595;MRA;Misratah Airport;LY;60;AF
596;ROO;Maestro Marinho Franco Airport;BR;1467;SA
597;YGQ;Geraldton Greenstone Regional Airport;CA;1144;NA
598;RLG;Rostock-Laage Airport;DE;138;EU
599;YPI;Port Simpson Seaplane Base;CA;0;NA
600;0;Mundo Novo Airport;BR;1788;SA
601;TKA;Talkeetna Airport;US;358;NA
602;DRB;Derby Airport;AU;24;OC
603;JIW;Jiwani Airport;PK;186;AS
604;TWZ;Pukaki Airport;NZ;1575;OC
605;YVD;Yeva Airport;PG;4510;OC
606;XGA;Gaoua Airport;BF;1099;AF
607;BQG;Bogorodskoye Airport;RU;;EU
608;WMB;Warrnambool Airport;AU;242;OC
609;PST;Preston Airport;CU;13;NA
610;FBK;Ladd AAF Airfield;US;454;NA
611;ARO;Arboletes Airport;CO;13;SA
612;TCX;Tabas Airport;IR;2312;AS
613;JBQ;La Isabela International Airport;DO;98;NA
614;PEX;Pechora Airport;RU;98;EU
615;SKR;Shakiso Airport;ET;5815;AF
616;NQY;Newquay Cornwall Airport;GB;390;EU
617;MHD;Mashhad International Airport;IR;3263;AS
618;RSH;Russian Mission Airport;US;51;NA
619;KKQ;Krasnoselkup Airport;RU;101;EU
620;TLQ;Turpan Jiaohe Airport;CN;934;AS
621;FTX;Owando Airport;CG;1214;AF
622;YBH;Bull Harbour Water Aerodrome;CA;0;NA
623;CGG;Casiguran Airport;PH;48;AS
624;GUY;Guymon Municipal Airport;US;3123;NA
625;MSF;Mount Swan Airport;AU;1641;OC
626;NDR;Nador International Airport;MA;574;AF
627;NIX;Nioro du Sahel Airport;ML;778;AF
628;RBK;French Valley Airport;US;1350;NA
629;DBC;Baicheng Chang'an Airport;CN;480;AS
630;AKC;Akron Fulton International Airport;US;1067;NA
631;VGS;General Villegas Airport;AR;383;SA
632;TUL;Tulsa International Airport;US;677;NA
633;NVN;Nervino Airport;US;4900;NA
634;VQS;Vieques Airport;PR;19;NA
635;CYT;Yakataga Airport;US;12;NA
636;LAX;Los Angeles International Airport;US;125;NA
637;LMT;Crater Lake-Klamath Regional Airport;US;4095;NA
638;HFD;Hartford Brainard Airport;US;18;NA
639;QLT;Latina Air Base;IT;94;EU
640;CSS;Cassilândia Airport;BR;1568;SA
641;ALW;Walla Walla Regional Airport;US;1194;NA
642;YLI;Ylivieska Airfield;FI;252;EU
643;ZAR;Zaria Airport;NG;2170;AF
644;NAS;Lynden Pindling International Airport;BS;16;NA
645;POO;Poços de Caldas - Embaixador Walther Moreira Salles Airport;BR;4135;SA
646;LIK;Likiep Airport;MH;;OC
647;JUT;Jutigalpa airport;HN;1314;NA
648;AHI;Amahai Airport;ID;29;AS
649;CJC;El Loa Airport;CL;7543;SA
650;SWH;Swan Hill Airport;AU;234;OC
651;EAE;Siwo Airport;VU;7;OC
652;YQL;Lethbridge County Airport;CA;3048;NA
653;AEG;Aek Godang Airport;ID;922;AS
654;QXH;Schönhagen Airport;DE;152;EU
655;ISO;Kinston Regional Jetport At Stallings Field;US;93;NA
656;NIO;Nioki Airport;CD;1043;AF
657;PUB;Pueblo Memorial Airport;US;4726;NA
658;YOH;Oxford House Airport;CA;663;NA
659;AKX;Aktobe Airport;KZ;738;AS
660;THD;Tho Xuan Airport;VN;59;AS
661;NKG;Nanjing Lukou Airport;CN;49;AS
662;EGC;Bergerac-Roumanière Airport;FR;171;EU
663;SSW;Stuart Island Airpark;US;10;NA
664;MJS;Maganja da Costa Airport;MZ;215;AF
665;BTN;Marlboro County Jetport H.E. Avent Field;US;147;NA
666;ZRH;Zürich Airport;CH;1416;EU
667;TRR;China Bay Airport;LK;6;AS
668;SBF;Sardeh Band Airport;AF;6971;AS
669;KLN;Larsen Bay Airport;US;87;NA
670;IJK;Izhevsk Airport;RU;531;EU
671;FOR;Pinto Martins International Airport;BR;82;SA
672;EFL;Kefallinia Airport;GR;59;EU
673;YZS;Coral Harbour Airport;CA;210;NA
674;ONS;Onslow Airport;AU;7;OC
675;PMB;Pembina Municipal Airport;US;795;NA
676;SAT;San Antonio International Airport;US;809;NA
677;YCY;Clyde River Airport;CA;87;NA
678;ALR;Alexandra Airport;NZ;752;OC
679;TTU;Saniat R'mel Airport;MA;10;AF
680;THZ;Tahoua Airport;NE;1266;AF
681;NUS;Norsup Airport;VU;23;OC
682;SGI;Mushaf Air Base;PK;614;AS
683;WGN;Shaoyang Wugang Airport;CN;1444;AS
684;MAP;Mamai Airport;PG;90;OC
685;CEY;Kyle Oakley Field;US;577;NA
686;KLG;Kalskag Airport;US;55;NA
687;SNU;Abel Santamaria Airport;CU;338;NA
688;TJH;Tajima Airport;JP;584;AS
689;ROT;Rotorua Regional Airport;NZ;935;OC
690;YNT;Yantai Laishan Airport;CN;59;AS
691;SOO;Söderhamn Airport;SE;88;EU
692;SXQ;Soldotna Airport;US;113;NA
693;BAR;Qionghai Bo'ao Airport;CN;30;AS
694;BRC;San Carlos De Bariloche Airport;AR;2774;SA
695;INF;In Guezzam Airport;DZ;1312;AF
696;SLG;Smith Field;US;1191;NA
697;RBS;Orbost Airport;AU;28;OC
698;EVE;Harstad/Narvik Airport, Evenes;NO;84;EU
699;TML;Tamale Airport;GH;553;AF
700;YAK;Yakutat Airport;US;33;NA
701;GPB;Tancredo Thomas de Faria Airport;BR;3494;SA
702;NOV;Nova Lisboa Airport;AO;5587;AF
703;BUA;Buka Airport;PG;11;OC
704;KFE;Fortescue - Dave Forrest Aerodrome;AU;1555;OC
705;KDV;Vunisea Airport;FJ;6;OC
706;LEH;Le Havre Octeville Airport;FR;313;EU
707;WSP;Waspam Airport;NI;98;NA
708;TTI;Tetiaroa Airport;PF;7;OC
709;NDG;Qiqihar Sanjiazi Airport;CN;477;AS
710;MAV;Maloelap Island Airport;MH;4;OC
711;SCU;Antonio Maceo International Airport;CU;249;NA
712;HRL;Valley International Airport;US;36;NA
713;TUP;Tupelo Regional Airport;US;346;NA
714;KWY;Kiwayu Airport;KE;21;AF
715;UKB;Kobe Airport;JP;22;AS
716;GYE;José Joaquín de Olmedo International Airport;EC;19;SA
717;KGU;Keningau Airport;MY;1036;AS
718;YMD;Mould Bay Airport;CA;30;NA
719;TZX;Trabzon International Airport;TR;104;AS
720;NAP;Naples International Airport;IT;294;EU
721;PAF;Pakuba Airfield;UG;2365;AF
722;BCX;Beloretsk Airport;RU;1827;EU
723;AOP;Alferez FAP Alfredo Vladimir Sara Bauer Airport;PE;728;SA
724;LBQ;Lambarene Airport;GA;82;AF
725;KGS;Kos Airport;GR;412;EU
726;WUN;Wiluna Airport;AU;1649;OC
727;FBL;Faribault Municipal Airport-Liz Wall Strohfus Field;US;1060;NA
728;IMD;Imonda Airport;PG;990;OC
729;GSW;Greater Southwest International Airport-Amon Carter Field;US;568;NA
730;XMY;Yam Island Airport;AU;;OC
731;GSQ;Shark El Oweinat International Airport;EG;859;AF
732;OKK;Kokomo Municipal Airport;US;830;NA
733;ALZ;Alitak Seaplane Base;US;;NA
734;RED;Mifflin County Airport;US;819;NA
735;REW;Rewa Airport, Chorhata, REWA;IN;1000;AS
736;QHV;Novo Hamburgo Airport;BR;66;SA
737;TQL;Tarko-Sale Airport;RU;82;AS
738;BGT;Bagdad Airport;US;4183;NA
739;CTF;Coatepeque Airport;GT;1486;NA
740;CKC;Cherkasy International Airport;UA;375;EU
741;GAH;Gayndah Airport;AU;369;OC
742;SUY;Suntar Airport;RU;452;AS
743;CCI;Concórdia Airport;BR;2461;SA
744;PRB;Paso Robles Municipal Airport;US;840;NA
745;BXS;Borrego Valley Airport;US;520;NA
746;MHZ;RAF Mildenhall;GB;33;EU
747;DMK;Don Mueang International Airport;TH;9;AS
748;YPM;Pikangikum Airport;CA;1114;NA
749;SOU;Southampton Airport;GB;44;EU
750;GLD;Renner Field-Goodland Municipal Airport;US;3656;NA
751;DTN;Shreveport Downtown Airport;US;179;NA
752;YPO;Peawanuck Airport;CA;173;NA
753;FRK;Frégate Island Airport;SC;610;AF
754;DXB;Dubai International Airport;AE;62;AS
755;EUG;Mahlon Sweet Field;US;374;NA
756;KAJ;Kajaani Airport;FI;483;EU
757;CWL;Cardiff International Airport;GB;220;EU
758;ZIG;Ziguinchor Airport;SN;75;AF
759;NAA;Narrabri Airport;AU;788;OC
760;TRM;Jacqueline Cochran Regional Airport;US;-115;NA
761;CZX;Changzhou Benniu Airport;CN;;AS
762;YNH;Hudsons Hope Airport;CA;2220;NA
763;VTE;Wattay International Airport;LA;564;AS
764;IIS;Nissan Island Airport;PG;52;OC
765;AZS;Samaná El Catey International Airport;DO;30;NA
766;YNG;Youngstown Warren Regional Airport;US;1192;NA
767;LGH;Leigh Creek Airport;AU;856;OC
768;MVE;Montevideo Chippewa County Airport;US;1034;NA
769;HBD;Habi Airport;PG;993;OC
770;PUD;Puerto Deseado Airport;AR;268;SA
771;UNN;Ranong Airport;TH;57;AS
772;PLY;Plymouth Municipal Airport;US;800;NA
773;CBM;Columbus Air Force Base;US;219;NA
774;LZR;Lizard Island Airport;AU;70;OC
775;MKI;M'Boki Airport;CF;1969;AF
776;UKI;Ukiah Municipal Airport;US;614;NA
777;LAR;Laramie Regional Airport;US;7284;NA
778;BVO;Bartlesville Municipal Airport;US;711;NA
779;BOG;El Dorado International Airport;CO;8361;SA
780;DRT;Del Rio International Airport;US;1002;NA
781;DEM;Dembidollo Airport;ET;5200;AF
782;RKD;Knox County Regional Airport;US;56;NA
783;LNK;Lincoln Airport;US;1219;NA
784;NIT;Niort-Souché Airport;FR;203;EU
785;PUQ;Pdte. Carlos Ibañez del Campo Airport;CL;139;SA
786;OSK;Oskarshamn Airport;SE;96;EU
787;YCK;Tommy Kochon Airport;CA;870;NA
788;LTM;Lethem Airport;GY;351;SA
789;BYB;Dibba Airport;OM;45;AS
790;YZX;CFB Greenwood;CA;92;NA
791;GRT;Gujrat Airport;PK;760;AS
792;AFS;Sugraly Airport;UZ;1396;AS
793;SRR;Dunwich Airport;AU;260;OC
794;CZT;Dimmit County Airport;US;599;NA
795;KBN;Tunta Airport;CD;2766;AF
796;DCA;Ronald Reagan Washington National Airport;US;15;NA
797;WLR;Loring Seaplane Base;US;0;NA
798;RBF;Big Bear City Airport;US;6752;NA
799;YGJ;Miho Yonago Airport;JP;20;AS
800;LGM;Laiagam Airport;PG;7267;OC
801;JSH;Sitia Airport;GR;376;EU
802;OVR;Olavarria Airport;AR;551;SA
803;WPK;Wrotham Park Airport;AU;152;OC
804;PCS;Picos Airport;BR;1050;SA
805;AEA;Abemama Atoll Airport;KI;8;OC
806;BRM;Barquisimeto International Airport;VE;2042;SA
807;TBJ;Tabarka 7 Novembre Airport;TN;230;AF
808;BZK;Bryansk Airport;RU;663;EU
809;BTK;Bratsk Airport;RU;1610;AS
810;AES;Ålesund Airport;NO;69;EU
811;GEG;Spokane International Airport;US;2376;NA
812;SLA;Martin Miguel De Guemes International Airport;AR;4088;SA
813;ITR;Francisco Vilela do Amaral Airport;BR;1630;SA
814;OGA;Searle Field;US;3279;NA
815;SYZ;Shiraz Shahid Dastghaib International Airport;IR;4920;AS
816;ISN;Sloulin Field International Airport;US;1982;NA
817;YKX;Kirkland Lake Airport;CA;1157;NA
818;ESD;Orcas Island Airport;US;31;NA
819;UYN;Yulin Yuyang Airport;CN;;AS
820;BOS;General Edward Lawrence Logan International Airport;US;20;NA
821;YXX;Abbotsford Airport;CA;195;NA
822;SDR;Santander Airport;ES;16;EU
823;MJX;Ocean County Airport;US;82;NA
824;BJT;Bentota River Waterdrome;LK;;AS
825;YBJ;Baie-Johan-Beetz Water Aerodrome;CA;;NA
826;VDE;Hierro Airport;ES;103;EU
827;AHD;Ardmore Downtown Executive Airport;US;844;NA
828;BMZ;Bamu Airport;PG;50;OC
829;GCV;Gravatai Airport;BR;25;SA
830;KAA;Kasama Airport;ZM;4541;AF
831;RUE;Rughenda Airfield;CD;5757;AF
832;LEN;Leon Airport;ES;3006;EU
833;TOO;San Vito De Java Airport;CR;3228;NA
834;ANR;Antwerp International Airport (Deurne);BE;39;EU
835;SRR;Dunwich Airport;AU;260;OC
836;MCL;McKinley National Park Airport;US;1720;NA
837;GNF;Gansner Field;US;3415;NA
838;DTU;Wudalianchi Dedu Airport;CN;984;AS
839;PXH;Prominent Hill Airport;AU;745;OC
840;BJJ;Wayne County Airport;US;1136;NA
841;BWM;Bowman Regional Airport;US;2965;NA
842;LHS;Las Heras Airport;AR;1082;SA
843;NST;Nakhon Si Thammarat Airport;TH;13;AS
844;CBS;Oro Negro Airport;VE;164;SA
845;LIA;Liangping Airport;CN;;AS
846;CIR;Cairo Regional Airport;US;321;NA
847;OUR;Batouri Airport;CM;2152;AF
848;PYB;Jeypore Airport;IN;1952;AS
849;KRU;Kerau Airport;PG;7360;OC
850;CHX;Cap Manuel Niño International Airport;PA;19;NA
851;FMU;Florence Municipal Airport;US;51;NA
852;QSF;Ain Arnat Airport;DZ;3360;AF
853;RBQ;Rurenabaque Airport;BO;676;SA
854;BYJ;Beja Airport / Airbase;PT;636;EU
855;HKS;Hawkins Field;US;341;NA
856;XMP;Macmillan Pass Airport;CA;3810;NA
857;WMT;Zunyi Maotai Airport;CN;4068;AS
858;NAN;Nadi International Airport;FJ;59;OC
859;BMR;Baltrum Airport;DE;7;EU
860;UBJ;Yamaguchi Ube Airport;JP;23;AS
861;IRO;Birao Airport;CF;1696;AF
862;HIE;Mount Washington Regional Airport;US;1074;NA
863;HZG;Hanzhong Chenggu Airport;CN;;AS
864;PBQ;Pimenta Bueno Airport;BR;682;SA
865;OCN;Oceanside Municipal Airport;US;28;NA
866;TAD;Perry Stokes Airport;US;5762;NA
867;FOK;Francis S Gabreski Airport;US;67;NA
868;YLC;Kimmirut Airport;CA;175;NA
869;LNK;Lincoln Airport;US;1219;NA
870;YTH;Thompson Airport;CA;729;NA
871;FOM;Foumban Nkounja Airport;CM;3963;AF
872;ASC;Ascención De Guarayos Airport;BO;807;SA
873;SYT;Saint-Yan Airport;FR;796;EU
874;TMZ;Thames Aerodrome;NZ;10;OC
875;WTT;Wantoat Airport;PG;3900;OC
876;RLO;Valle Del Conlara International Airport;AR;2021;SA
877;GEA;Nouméa Magenta Airport;NC;10;OC
878;HUS;Hughes Airport;US;299;NA
879;STD;Mayor Buenaventura Vivas International Airport;VE;1083;SA
880;ECV;Cuatro Vientos Airport;ES;2269;EU
881;PEA;Penneshaw Airport;AU;;OC
882;MJJ;Moki Airport;PG;3030;OC
883;RVY;Presidente General Don Oscar D. Gestido International Airport;UY;712;SA
884;RKH;Rock Hill - York County Airport;US;666;NA
885;CHU;Chuathbaluk Airport;US;244;NA
886;VAO;Suavanao Airport;SB;;OC
887;UGA;Bulgan Airport;MN;4311;AS
888;HGH;Hangzhou Xiaoshan International Airport;CN;23;AS
889;QGF;Montenegro Airport;BR;125;SA
890;LGM;Laiagam Airport;PG;7267;OC
891;ZRM;Sarmi Airport;ID;10;AS
892;QLP;Sarzana-Luni Air Base;IT;45;EU
893;TRO;Taree Airport;AU;38;OC
894;NML;Fort McMurray / Mildred Lake Airport;CA;1046;NA
895;CXM;Camaxilo Airport;AO;3957;AF
896;HGD;Hughenden Airport;AU;1043;OC
897;TUH;Arnold Air Force Base;US;1067;NA
898;ILA;Illaga Airport;ID;7989;AS
899;SDN;Sandane Airport (Anda);NO;196;EU
900;AAN;Al Ain International Airport;AE;869;AS
901;MQQ;Moundou Airport;TD;1407;AF
902;KSI;Kissidougou Airport;GN;1808;AF
903;IAB;Mc Connell Air Force Base;US;1371;NA
904;SBY;Salisbury Ocean City Wicomico Regional Airport;US;52;NA
905;HKY;Hickory Regional Airport;US;1190;NA
906;FMN;Four Corners Regional Airport;US;5506;NA
907;EBM;El Borma Airport;TN;827;AF
908;BFV;Buri Ram Airport;TH;590;AS
909;PLE;Paiela Airport;PG;6100;OC
910;TAZ;Daşoguz Airport;TM;272;AS
911;GGO;Guiglo Airport;CI;722;AF
912;TES;Tessenei Airport;ER;2018;AF
913;INX;Inanwatan Airport;ID;9;AS
914;SWG;Satwag Airport;PG;4185;OC
915;CLK;Clinton Regional Airport;US;1616;NA
916;WWK;Wewak International Airport;PG;19;OC
917;MKN;Malekolon Airport;PG;5;OC
918;KRI;Kikori Airport;PG;50;OC
919;EOK;Keokuk Municipal Airport;US;671;NA
920;BUV;Bella Union Airport;UY;70;SA
921;PTV;Porterville Municipal Airport;US;442;NA
922;CNL;Sindal Airport;DK;92;EU
923;MTF;Mizan Teferi Airport;ET;4396;AF
924;MQQ;Moundou Airport;TD;1407;AF
925;KBR;Sultan Ismail Petra Airport;MY;16;AS
926;FSI;Henry Post Army Air Field (Fort Sill);US;1189;NA
927;OSD;Åre Östersund Airport;SE;1233;EU
928;AHF;Arapahoe Municipal Airport;US;2270;NA
929;NTN;Normanton Airport;AU;73;OC
930;YQZ;Quesnel Airport;CA;1789;NA
931;BOC;Bocas Del Toro International Airport;PA;10;NA
932;EGX;Egegik Airport;US;92;NA
933;LPC;Lompoc Airport;US;88;NA
934;AIO;Atlantic Municipal Airport;US;1165;NA
935;KRE;Kirundo Airport;BI;4511;AF
936;DPT;Deputatskiy Airport;RU;950;EU
937;ORG;Zorg en Hoop Airport;SR;10;SA
938;PGN;Pangia Airport;PG;5340;OC
939;LKP;Lake Placid Airport;US;1747;NA
940;MHY;Morehead Airport;PG;100;OC
941;YCV;Cartierville Airport;CA;120;NA
942;VTZ;Vishakhapatnam Airport;IN;15;AS
943;JDR;Prefeito Octávio de Almeida Neves Airport;BR;3117;SA
944;0;EMBRAER - Unidade Gavião Peixoto Airport;BR;1998;SA
945;GRY;Grímsey Airport;IS;66;EU
946;RUM;Rumjatar Airport;NP;4500;AS
947;0;Oeiras Airport;BR;820;SA
948;DGL;Douglas Municipal Airport;US;4173;NA
949;0;Leme Airport;BR;2024;SA
950;SRO;Santana Ramos Airport;CO;6017;SA
951;SCF;Scottsdale Airport;US;1510;NA
952;KHD;Khoram Abad Airport;IR;3782;AS
953;LSF;Lawson Army Air Field (Fort Benning);US;232;NA
954;DCF;Canefield Airport;DM;13;NA
955;AHJ;Hongyuan Airport;CN;11600;AS
956;BID;Block Island State Airport;US;108;NA
957;JRS;Jerusalem Airport;PS;2485;AS
958;AHU;Cherif Al Idrissi Airport;MA;95;AF
959;ENT;Eniwetok Airport;MH;13;OC
960;JKL;Kalymnos Airport;GR;771;EU
961;SQN;Emalamo Sanana Airport;ID;39;AS
962;SQX;São Miguel do Oeste Airport;BR;2180;SA
963;NKN;Nankina Airport;PG;5800;OC
964;LUC;Laucala Island Airport;FJ;10;OC
965;PCA;Portage Creek Airport;US;137;NA
966;HOR;Horta Airport;PT;118;EU
967;MJY;Mangunjaya Airport;ID;76;AS
968;JDZ;Jingdezhen Airport;CN;112;AS
969;XFN;Xiangyang Liuji Airport;CN;;AS
970;MVO;Mongo Airport;TD;1414;AF
971;STN;London Stansted Airport;GB;348;EU
972;HVA;Analalava Airport;MG;345;AF
973;GLH;Mid Delta Regional Airport;US;131;NA
974;KRF;Kramfors Sollefteå Airport;SE;34;EU
975;AVU;Avu Avu Airport;SB;25;OC
976;NSI;Yaoundé Nsimalen International Airport;CM;2278;AF
977;TCK;Tinboli Airport;PG;59;OC
978;EIE;Yeniseysk Airport;RU;253;AS
979;SJK;Professor Urbano Ernesto Stumpf Airport;BR;2120;SA
980;TKE;Tenakee Seaplane Base;US;0;NA
981;WTN;RAF Waddington;GB;231;EU
982;DFI;Defiance Memorial Airport;US;707;NA
983;SMU;Sheep Mountain Airport;US;2750;NA
984;MWG;Marawaka Airport;PG;6050;OC
985;BYK;Bouaké Airport;CI;1230;AF
986;HMT;Hemet Ryan Airport;US;1512;NA
987;LMI;Lumi Airport;PG;1750;OC
988;KJP;Kerama Airport;JP;156;AS
989;NDJ;N'Djamena International Airport;TD;968;AF
990;VGA;Vijayawada Airport;IN;82;AS
991;NRN;Weeze Airport;DE;106;EU
992;CVI;Caleta Olivia Airport;AR;37;SA
993;MUW;Ghriss Airport;DZ;1686;AF
994;PCV;Punta Chivato Airport;MX;49;NA
995;MXT;Maintirano Airport;MG;95;AF
996;AAH;Aachen-Merzbrück Airport;DE;623;EU
997;KMT;Kampot Airport;KH;44;AS
998;HGZ;Hog River Airport;US;534;NA
999;MWK;Tarempa Airport;ID;10;AS
1000;CXL;Calexico International Airport;US;4;NA
